




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	human_orthologs_for_go_enrichment.txt (Homo sapiens)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20851)	human_orthologs_for_go_enrichment.txt (3154)	human_orthologs_for_go_enrichment.txt (expected)	human_orthologs_for_go_enrichment.txt (over/under)	human_orthologs_for_go_enrichment.txt (fold Enrichment)	human_orthologs_for_go_enrichment.txt (raw P-value)	human_orthologs_for_go_enrichment.txt (FDR)
negative regulation of mRNA processing (GO:0050686)	31	16	4.69	+	3.41	2.02E-04	3.59E-03
monosaccharide catabolic process (GO:0046365)	62	32	9.38	+	3.41	1.71E-07	6.11E-06
antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent (GO:0002479)	76	39	11.50	+	3.39	9.03E-09	4.00E-07
virion assembly (GO:0019068)	39	20	5.90	+	3.39	3.62E-05	7.84E-04
NIK/NF-kappaB signaling (GO:0038061)	80	41	12.10	+	3.39	3.91E-09	1.88E-07
transcription by RNA polymerase I (GO:0006360)	43	22	6.50	+	3.38	1.54E-05	3.66E-04
peroxisome organization (GO:0007031)	88	45	13.31	+	3.38	7.32E-10	3.87E-08
lipid oxidation (GO:0034440)	88	45	13.31	+	3.38	7.32E-10	3.86E-08
NAD metabolic process (GO:0019674)	45	23	6.81	+	3.38	1.01E-05	2.53E-04
dicarboxylic acid metabolic process (GO:0043648)	94	48	14.22	+	3.38	2.09E-10	1.19E-08
amino acid activation (GO:0043038)	55	28	8.32	+	3.37	1.21E-06	3.68E-05
cell cycle DNA replication (GO:0044786)	57	29	8.62	+	3.36	7.96E-07	2.51E-05
ribonucleoprotein complex biogenesis (GO:0022613)	468	238	70.79	+	3.36	2.86E-46	1.13E-43
chaperone-mediated protein folding (GO:0061077)	59	30	8.92	+	3.36	5.22E-07	1.71E-05
regulation of cellular amine metabolic process (GO:0033238)	87	44	13.16	+	3.34	1.46E-09	7.49E-08
triglyceride biosynthetic process (GO:0019432)	22	11	3.33	+	3.31	2.38E-03	3.01E-02
alcohol catabolic process (GO:0046164)	54	27	8.17	+	3.31	2.43E-06	6.94E-05
negative regulation of cell cycle G2/M phase transition (GO:1902750)	104	52	15.73	+	3.31	6.75E-11	4.01E-09
regulation of translational fidelity (GO:0006450)	26	13	3.93	+	3.31	9.84E-04	1.43E-02
protein exit from endoplasmic reticulum (GO:0032527)	24	12	3.63	+	3.31	1.53E-03	2.08E-02
protein peptidyl-prolyl isomerization (GO:0000413)	48	24	7.26	+	3.31	8.68E-06	2.22E-04
regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061418)	78	39	11.80	+	3.31	1.56E-08	6.63E-07
phosphate ion transport (GO:0006817)	20	10	3.03	+	3.31	3.72E-03	4.40E-02
blastocyst growth (GO:0001832)	20	10	3.03	+	3.31	3.72E-03	4.40E-02
nuclear DNA replication (GO:0033260)	56	28	8.47	+	3.31	1.59E-06	4.72E-05
protein homotetramerization (GO:0051289)	56	28	8.47	+	3.31	1.59E-06	4.71E-05
regulation of mRNA 3'-end processing (GO:0031440)	28	14	4.24	+	3.31	6.36E-04	9.86E-03
glycolytic process through glucose-6-phosphate (GO:0061620)	28	14	4.24	+	3.31	6.36E-04	9.85E-03
glycolytic process through fructose-6-phosphate (GO:0061615)	28	14	4.24	+	3.31	6.36E-04	9.84E-03
fatty acid catabolic process (GO:0009062)	98	49	14.82	+	3.31	2.37E-10	1.33E-08
ribosome biogenesis (GO:0042254)	335	166	50.67	+	3.28	2.99E-31	6.67E-29
antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590)	81	40	12.25	+	3.26	1.34E-08	5.82E-07
regulation of hematopoietic stem cell differentiation (GO:1902036)	75	37	11.34	+	3.26	4.71E-08	1.84E-06
pyruvate metabolic process (GO:0006090)	71	35	10.74	+	3.26	1.09E-07	3.98E-06
translation (GO:0006412)	394	194	59.60	+	3.26	2.98E-36	8.29E-34
pH reduction (GO:0045851)	51	25	7.71	+	3.24	7.41E-06	1.94E-04
mitotic metaphase plate congression (GO:0007080)	45	22	6.81	+	3.23	2.65E-05	5.95E-04
one-carbon metabolic process (GO:0006730)	39	19	5.90	+	3.22	9.56E-05	1.85E-03
nucleotide-sugar metabolic process (GO:0009225)	39	19	5.90	+	3.22	9.56E-05	1.85E-03
endosome transport via multivesicular body sorting pathway (GO:0032509)	35	17	5.29	+	3.21	2.26E-04	3.93E-03
antigen processing and presentation of peptide antigen via MHC class I (GO:0002474)	101	49	15.28	+	3.21	5.22E-10	2.85E-08
aspartate family amino acid metabolic process (GO:0009066)	58	28	8.77	+	3.19	2.70E-06	7.63E-05
NADH regeneration (GO:0006735)	27	13	4.08	+	3.18	1.28E-03	1.79E-02
nucleobase-containing small molecule interconversion (GO:0015949)	27	13	4.08	+	3.18	1.28E-03	1.79E-02
glucose catabolic process to pyruvate (GO:0061718)	27	13	4.08	+	3.18	1.28E-03	1.79E-02
canonical glycolysis (GO:0061621)	27	13	4.08	+	3.18	1.28E-03	1.79E-02
transcription elongation from RNA polymerase II promoter (GO:0006368)	75	36	11.34	+	3.17	1.21E-07	4.37E-06
regulation of spindle assembly (GO:0090169)	25	12	3.78	+	3.17	1.99E-03	2.60E-02
glutamine family amino acid metabolic process (GO:0009064)	73	35	11.04	+	3.17	1.83E-07	6.54E-06
nucleoside monophosphate biosynthetic process (GO:0009124)	46	22	6.96	+	3.16	3.44E-05	7.50E-04
sterol biosynthetic process (GO:0016126)	46	22	6.96	+	3.16	3.44E-05	7.49E-04
peptide biosynthetic process (GO:0043043)	419	200	63.38	+	3.16	6.24E-36	1.65E-33
RNA splicing, via transesterification reactions (GO:0000375)	307	146	46.44	+	3.14	2.98E-26	4.98E-24
cellular ketone metabolic process (GO:0042180)	80	38	12.10	+	3.14	6.72E-08	2.55E-06
NADH metabolic process (GO:0006734)	38	18	5.75	+	3.13	1.90E-04	3.38E-03
mRNA splicing, via spliceosome (GO:0000398)	304	144	45.98	+	3.13	8.27E-26	1.30E-23
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	304	144	45.98	+	3.13	8.27E-26	1.29E-23
transferrin transport (GO:0033572)	36	17	5.45	+	3.12	2.92E-04	4.96E-03
nucleobase metabolic process (GO:0009112)	36	17	5.45	+	3.12	2.92E-04	4.96E-03
xenobiotic transport (GO:0042908)	34	16	5.14	+	3.11	4.50E-04	7.25E-03
ribosome assembly (GO:0042255)	68	32	10.29	+	3.11	8.32E-07	2.62E-05
cellular amino acid biosynthetic process (GO:0008652)	83	39	12.55	+	3.11	8.96E-08	3.30E-06
interleukin-1-mediated signaling pathway (GO:0070498)	96	45	14.52	+	3.10	8.16E-09	3.67E-07
DNA-templated transcription, elongation (GO:0006354)	92	43	13.92	+	3.09	1.89E-08	7.91E-07
glutamate metabolic process (GO:0006536)	30	14	4.54	+	3.09	1.07E-03	1.53E-02
protein N-linked glycosylation (GO:0006487)	75	35	11.34	+	3.09	4.83E-07	1.60E-05
spliceosomal complex assembly (GO:0000245)	56	26	8.47	+	3.07	1.04E-05	2.61E-04
tRNA methylation (GO:0030488)	41	19	6.20	+	3.06	1.59E-04	2.89E-03
hexose catabolic process (GO:0019320)	52	24	7.87	+	3.05	2.42E-05	5.46E-04
cellular carbohydrate catabolic process (GO:0044275)	39	18	5.90	+	3.05	2.44E-04	4.22E-03
DNA damage response, detection of DNA damage (GO:0042769)	39	18	5.90	+	3.05	2.44E-04	4.22E-03
carbohydrate phosphorylation (GO:0046835)	26	12	3.93	+	3.05	2.57E-03	3.20E-02
organic hydroxy compound catabolic process (GO:1901616)	76	35	11.50	+	3.04	5.43E-07	1.77E-05
protein targeting (GO:0006605)	374	172	56.57	+	3.04	1.54E-29	3.14E-27
ncRNA processing (GO:0034470)	433	199	65.50	+	3.04	5.88E-34	1.43E-31
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)	61	28	9.23	+	3.03	9.23E-06	2.34E-04
vesicle-mediated transport between endosomal compartments (GO:0098927)	24	11	3.63	+	3.03	4.00E-03	4.63E-02
protein alpha-1,2-demannosylation (GO:0036508)	24	11	3.63	+	3.03	4.00E-03	4.63E-02
protein demannosylation (GO:0036507)	24	11	3.63	+	3.03	4.00E-03	4.63E-02
protein heterooligomerization (GO:0051291)	24	11	3.63	+	3.03	4.00E-03	4.62E-02
histone mRNA metabolic process (GO:0008334)	24	11	3.63	+	3.03	4.00E-03	4.62E-02
secondary metabolic process (GO:0019748)	48	22	7.26	+	3.03	5.66E-05	1.17E-03
amide biosynthetic process (GO:0043604)	548	250	82.89	+	3.02	3.28E-42	1.13E-39
M phase (GO:0000279)	171	78	25.87	+	3.02	7.61E-14	6.13E-12
mitotic M phase (GO:0000087)	171	78	25.87	+	3.02	7.61E-14	6.09E-12
DNA-templated transcription, termination (GO:0006353)	79	36	11.95	+	3.01	4.13E-07	1.39E-05
regulation of cholesterol biosynthetic process (GO:0045540)	44	20	6.66	+	3.00	1.32E-04	2.47E-03
pyrimidine nucleotide biosynthetic process (GO:0006221)	33	15	4.99	+	3.00	8.88E-04	1.31E-02
regulation of hematopoietic progenitor cell differentiation (GO:1901532)	88	40	13.31	+	3.00	9.17E-08	3.36E-06
regulation of sterol biosynthetic process (GO:0106118)	44	20	6.66	+	3.00	1.32E-04	2.47E-03
olefinic compound metabolic process (GO:0120254)	110	50	16.64	+	3.00	2.10E-09	1.06E-07
positive regulation of mRNA processing (GO:0050685)	33	15	4.99	+	3.00	8.88E-04	1.31E-02
protein folding (GO:0006457)	229	104	34.64	+	3.00	4.90E-18	5.04E-16
establishment of protein localization to membrane (GO:0090150)	293	133	44.32	+	3.00	1.16E-22	1.55E-20
mitochondrial transmembrane transport (GO:1990542)	106	48	16.03	+	2.99	4.84E-09	2.26E-07
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	95	43	14.37	+	2.99	3.17E-08	1.28E-06
fat-soluble vitamin metabolic process (GO:0006775)	42	19	6.35	+	2.99	2.03E-04	3.59E-03
anaphase (GO:0051322)	157	71	23.75	+	2.99	1.39E-12	9.90E-11
mitotic anaphase (GO:0000090)	157	71	23.75	+	2.99	1.39E-12	9.85E-11
glucose catabolic process (GO:0006007)	31	14	4.69	+	2.99	1.37E-03	1.89E-02
cellular amino acid catabolic process (GO:0009063)	124	56	18.76	+	2.99	2.69E-10	1.49E-08
reactive oxygen species biosynthetic process (GO:1903409)	31	14	4.69	+	2.99	1.37E-03	1.89E-02
phosphatidylethanolamine metabolic process (GO:0046337)	31	14	4.69	+	2.99	1.37E-03	1.89E-02
arachidonic acid metabolic process (GO:0019369)	60	27	9.08	+	2.97	1.57E-05	3.71E-04
secondary alcohol biosynthetic process (GO:1902653)	40	18	6.05	+	2.97	3.11E-04	5.24E-03
cholesterol biosynthetic process (GO:0006695)	40	18	6.05	+	2.97	3.11E-04	5.23E-03
carbohydrate transport (GO:0008643)	80	36	12.10	+	2.97	4.88E-07	1.61E-05
organic acid catabolic process (GO:0016054)	267	120	40.39	+	2.97	2.69E-20	3.02E-18
carboxylic acid catabolic process (GO:0046395)	267	120	40.39	+	2.97	2.69E-20	3.00E-18
aerobic respiration (GO:0009060)	78	35	11.80	+	2.97	7.42E-07	2.36E-05
acylglycerol biosynthetic process (GO:0046463)	29	13	4.39	+	2.96	2.12E-03	2.74E-02
neutral lipid biosynthetic process (GO:0046460)	29	13	4.39	+	2.96	2.12E-03	2.74E-02
carbohydrate catabolic process (GO:0016052)	121	54	18.30	+	2.95	1.25E-09	6.43E-08
tRNA modification (GO:0006400)	92	41	13.92	+	2.95	8.90E-08	3.28E-06
regulation of protein exit from endoplasmic reticulum (GO:0070861)	27	12	4.08	+	2.94	3.28E-03	3.94E-02
vesicle docking (GO:0048278)	63	28	9.53	+	2.94	1.18E-05	2.93E-04
vesicle cargo loading (GO:0035459)	27	12	4.08	+	2.94	3.28E-03	3.94E-02
cytokinetic process (GO:0032506)	36	16	5.45	+	2.94	7.32E-04	1.11E-02
phagosome maturation (GO:0090382)	45	20	6.81	+	2.94	2.72E-04	4.64E-03
ribose phosphate biosynthetic process (GO:0046390)	178	79	26.92	+	2.93	1.28E-13	9.99E-12
mitotic sister chromatid segregation (GO:0000070)	111	49	16.79	+	2.92	9.78E-09	4.30E-07
cellular hormone metabolic process (GO:0034754)	127	56	19.21	+	2.92	6.88E-10	3.66E-08
cellular amino acid metabolic process (GO:0006520)	295	130	44.62	+	2.91	2.67E-21	3.26E-19
protein deglycosylation (GO:0006517)	32	14	4.84	+	2.89	1.73E-03	2.30E-02
metaphase plate congression (GO:0051310)	55	24	8.32	+	2.88	6.36E-05	1.30E-03
ncRNA metabolic process (GO:0034660)	525	229	79.41	+	2.88	3.16E-36	8.64E-34
retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)	85	37	12.86	+	2.88	5.75E-07	1.87E-05
unsaturated fatty acid metabolic process (GO:0033559)	108	47	16.34	+	2.88	2.46E-08	1.01E-06
xenobiotic metabolic process (GO:0006805)	122	53	18.45	+	2.87	2.75E-09	1.37E-07
small molecule catabolic process (GO:0044282)	434	188	65.65	+	2.86	1.47E-29	3.03E-27
cellular response to xenobiotic stimulus (GO:0071466)	127	55	19.21	+	2.86	1.43E-09	7.34E-08
ribonucleotide biosynthetic process (GO:0009260)	171	74	25.87	+	2.86	2.53E-12	1.74E-10
mRNA metabolic process (GO:0016071)	700	302	105.88	+	2.85	3.81E-47	1.55E-44
peptide metabolic process (GO:0006518)	538	232	81.38	+	2.85	4.54E-36	1.22E-33
nucleobase-containing compound catabolic process (GO:0034655)	383	165	57.93	+	2.85	6.53E-26	1.06E-23
glycolytic process (GO:0006096)	42	18	6.35	+	2.83	7.04E-04	1.08E-02
COPII-coated vesicle budding (GO:0090114)	70	30	10.59	+	2.83	8.63E-06	2.21E-04
very long-chain fatty acid metabolic process (GO:0000038)	35	15	5.29	+	2.83	2.28E-03	2.92E-02
sulfur compound transport (GO:0072348)	49	21	7.41	+	2.83	2.25E-04	3.92E-03
protein targeting to mitochondrion (GO:0006626)	56	24	8.47	+	2.83	7.41E-05	1.47E-03
purine ribonucleotide biosynthetic process (GO:0009152)	157	67	23.75	+	2.82	4.42E-11	2.63E-09
fatty acid derivative metabolic process (GO:1901568)	169	72	25.56	+	2.82	7.79E-12	5.05E-10
alpha-amino acid metabolic process (GO:1901605)	207	88	31.31	+	2.81	4.62E-14	3.84E-12
serine family amino acid metabolic process (GO:0009069)	40	17	6.05	+	2.81	1.08E-03	1.54E-02
sister chromatid segregation (GO:0000819)	139	59	21.03	+	2.81	9.09E-10	4.75E-08
DNA duplex unwinding (GO:0032508)	111	47	16.79	+	2.80	3.81E-08	1.52E-06
ribonucleoside monophosphate metabolic process (GO:0009161)	52	22	7.87	+	2.80	1.72E-04	3.08E-03
mRNA 3'-end processing (GO:0031124)	90	38	13.61	+	2.79	9.83E-07	3.03E-05
L-amino acid transport (GO:0015807)	64	27	9.68	+	2.79	3.00E-05	6.66E-04
telomere maintenance via semi-conservative replication (GO:0032201)	38	16	5.75	+	2.78	1.65E-03	2.21E-02
sulfur amino acid metabolic process (GO:0000096)	38	16	5.75	+	2.78	1.65E-03	2.20E-02
purine ribonucleoside monophosphate metabolic process (GO:0009167)	38	16	5.75	+	2.78	1.65E-03	2.20E-02
purine nucleotide biosynthetic process (GO:0006164)	167	70	25.26	+	2.77	2.53E-11	1.54E-09
ATP generation from ADP (GO:0006757)	43	18	6.50	+	2.77	7.98E-04	1.20E-02
protein tetramerization (GO:0051262)	86	36	13.01	+	2.77	2.22E-06	6.41E-05
pyrimidine-containing compound biosynthetic process (GO:0072528)	43	18	6.50	+	2.77	7.98E-04	1.20E-02
tRNA metabolic process (GO:0006399)	196	82	29.65	+	2.77	6.13E-13	4.59E-11
vesicle coating (GO:0006901)	67	28	10.13	+	2.76	2.40E-05	5.42E-04
response to xenobiotic stimulus (GO:0009410)	134	56	20.27	+	2.76	3.40E-09	1.66E-07
positive regulation of gene expression, epigenetic (GO:0045815)	60	25	9.08	+	2.75	6.90E-05	1.38E-03
protein transmembrane import into intracellular organelle (GO:0044743)	36	15	5.45	+	2.75	2.52E-03	3.16E-02
RNA processing (GO:0006396)	929	387	140.52	+	2.75	9.35E-58	5.30E-55
DNA geometric change (GO:0032392)	118	49	17.85	+	2.75	4.72E-08	1.83E-06
multivesicular body sorting pathway (GO:0071985)	41	17	6.20	+	2.74	1.22E-03	1.70E-02
vitamin transport (GO:0051180)	41	17	6.20	+	2.74	1.22E-03	1.70E-02
RNA splicing (GO:0008380)	410	170	62.02	+	2.74	4.30E-25	6.37E-23
cellular amide metabolic process (GO:0043603)	816	338	123.43	+	2.74	1.06E-49	4.81E-47
interleukin-12-mediated signaling pathway (GO:0035722)	46	19	6.96	+	2.73	6.05E-04	9.42E-03
COPII vesicle coating (GO:0048208)	63	26	9.53	+	2.73	5.49E-05	1.15E-03
vesicle targeting, rough ER to cis-Golgi (GO:0048207)	63	26	9.53	+	2.73	5.49E-05	1.14E-03
isoprenoid metabolic process (GO:0006720)	143	59	21.63	+	2.73	1.55E-09	7.88E-08
Wnt signaling pathway, planar cell polarity pathway (GO:0060071)	97	40	14.67	+	2.73	6.66E-07	2.14E-05
vesicle budding from membrane (GO:0006900)	102	42	15.43	+	2.72	3.50E-07	1.19E-05
ADP metabolic process (GO:0046031)	51	21	7.71	+	2.72	3.07E-04	5.18E-03
Golgi vesicle budding (GO:0048194)	78	32	11.80	+	2.71	1.14E-05	2.82E-04
pteridine-containing compound metabolic process (GO:0042558)	39	16	5.90	+	2.71	1.86E-03	2.44E-02
purine-containing compound biosynthetic process (GO:0072522)	178	73	26.92	+	2.71	2.34E-11	1.44E-09
establishment of protein localization to organelle (GO:0072594)	454	186	68.67	+	2.71	5.41E-27	9.53E-25
alpha-amino acid catabolic process (GO:1901606)	105	43	15.88	+	2.71	2.79E-07	9.70E-06
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	198	81	29.95	+	2.70	2.76E-12	1.89E-10
peptidyl-proline modification (GO:0018208)	66	27	9.98	+	2.70	4.39E-05	9.32E-04
ribose phosphate metabolic process (GO:0019693)	343	140	51.88	+	2.70	2.04E-20	2.32E-18
regulation of metaphase/anaphase transition of cell cycle (GO:1902099)	59	24	8.92	+	2.69	1.26E-04	2.35E-03
monocarboxylic acid metabolic process (GO:0032787)	542	220	81.98	+	2.68	2.82E-31	6.39E-29
carboxylic acid transmembrane transport (GO:1905039)	143	58	21.63	+	2.68	3.29E-09	1.62E-07
positive regulation of RNA splicing (GO:0033120)	37	15	5.60	+	2.68	2.84E-03	3.48E-02
mRNA polyadenylation (GO:0006378)	37	15	5.60	+	2.68	2.84E-03	3.48E-02
regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618)	111	45	16.79	+	2.68	2.55E-07	8.92E-06
positive regulation of telomere maintenance via telomere lengthening (GO:1904358)	37	15	5.60	+	2.68	2.84E-03	3.48E-02
carboxylic acid metabolic process (GO:0019752)	904	366	136.74	+	2.68	4.00E-52	1.98E-49
carbohydrate transmembrane transport (GO:0034219)	42	17	6.35	+	2.68	1.40E-03	1.93E-02
organophosphate ester transport (GO:0015748)	141	57	21.33	+	2.67	4.93E-09	2.30E-07
intracellular protein transmembrane transport (GO:0065002)	52	21	7.87	+	2.67	3.64E-04	6.03E-03
postreplication repair (GO:0006301)	52	21	7.87	+	2.67	3.64E-04	6.03E-03
cellular nitrogen compound catabolic process (GO:0044270)	441	178	66.71	+	2.67	3.27E-25	4.94E-23
regulation of mitotic metaphase/anaphase transition (GO:0030071)	57	23	8.62	+	2.67	1.90E-04	3.38E-03
vitamin metabolic process (GO:0006766)	124	50	18.76	+	2.67	5.01E-08	1.93E-06
organic acid transmembrane transport (GO:1903825)	144	58	21.78	+	2.66	5.82E-09	2.65E-07
nucleotide biosynthetic process (GO:0009165)	236	95	35.70	+	2.66	5.89E-14	4.79E-12
ribonucleotide metabolic process (GO:0009259)	333	134	50.37	+	2.66	3.21E-19	3.46E-17
purine ribonucleotide metabolic process (GO:0009150)	316	127	47.80	+	2.66	3.37E-18	3.50E-16
fatty acid metabolic process (GO:0006631)	332	133	50.22	+	2.65	8.71E-19	9.28E-17
glucose metabolic process (GO:0006006)	115	46	17.40	+	2.64	2.16E-07	7.64E-06
nucleoside phosphate biosynthetic process (GO:1901293)	240	96	36.30	+	2.64	5.31E-14	4.38E-12
vesicle targeting, to, from or within Golgi (GO:0048199)	70	28	10.59	+	2.64	5.75E-05	1.19E-03
vesicle fusion (GO:0006906)	80	32	12.10	+	2.64	1.47E-05	3.51E-04
cell redox homeostasis (GO:0045454)	45	18	6.81	+	2.64	1.07E-03	1.53E-02
monosaccharide transmembrane transport (GO:0015749)	40	16	6.05	+	2.64	2.13E-03	2.75E-02
heterocycle catabolic process (GO:0046700)	440	176	66.56	+	2.64	1.16E-24	1.67E-22
organophosphate biosynthetic process (GO:0090407)	536	214	81.08	+	2.64	1.17E-29	2.45E-27
protein-DNA complex assembly (GO:0065004)	203	81	30.71	+	2.64	5.38E-12	3.60E-10
antigen processing and presentation of exogenous peptide antigen (GO:0002478)	178	71	26.92	+	2.64	1.46E-10	8.48E-09
alcohol metabolic process (GO:0006066)	330	131	49.92	+	2.62	2.35E-18	2.47E-16
autophagosome assembly (GO:0000045)	63	25	9.53	+	2.62	1.75E-04	3.13E-03
regulation of mRNA processing (GO:0050684)	154	61	23.29	+	2.62	2.89E-09	1.43E-07
purine nucleotide metabolic process (GO:0006163)	341	135	51.58	+	2.62	7.28E-19	7.80E-17
cellular response to interleukin-12 (GO:0071349)	48	19	7.26	+	2.62	8.35E-04	1.25E-02
vesicle targeting (GO:0006903)	91	36	13.76	+	2.62	4.76E-06	1.28E-04
tRNA processing (GO:0008033)	134	53	20.27	+	2.61	4.19E-08	1.65E-06
toxin transport (GO:1901998)	43	17	6.50	+	2.61	1.63E-03	2.21E-02
organelle membrane fusion (GO:0090174)	86	34	13.01	+	2.61	8.99E-06	2.29E-04
terpenoid metabolic process (GO:0006721)	124	49	18.76	+	2.61	1.03E-07	3.77E-06
icosanoid metabolic process (GO:0006690)	114	45	17.24	+	2.61	3.72E-07	1.26E-05
RNA polyadenylation (GO:0043631)	38	15	5.75	+	2.61	3.25E-03	3.91E-02
phospholipid biosynthetic process (GO:0008654)	256	101	38.72	+	2.61	2.44E-14	2.07E-12
mitotic nuclear division (GO:0140014)	170	67	25.71	+	2.61	7.06E-10	3.74E-08
nucleoside diphosphate phosphorylation (GO:0006165)	61	24	9.23	+	2.60	2.62E-04	4.49E-03
organic cyclic compound catabolic process (GO:1901361)	490	192	74.12	+	2.59	6.78E-26	1.09E-23
aromatic compound catabolic process (GO:0019439)	457	179	69.13	+	2.59	3.34E-24	4.65E-22
organelle fusion (GO:0048284)	105	41	15.88	+	2.58	1.59E-06	4.72E-05
organic acid metabolic process (GO:0006082)	1017	397	153.84	+	2.58	1.68E-53	8.59E-51
purine nucleoside monophosphate metabolic process (GO:0009126)	41	16	6.20	+	2.58	2.48E-03	3.12E-02
regulation of cholesterol metabolic process (GO:0090181)	59	23	8.92	+	2.58	3.92E-04	6.45E-03
oxoacid metabolic process (GO:0043436)	996	388	150.66	+	2.58	4.99E-52	2.40E-49
L-alpha-amino acid transmembrane transport (GO:1902475)	54	21	8.17	+	2.57	8.08E-04	1.21E-02
biological phase (GO:0044848)	270	105	40.84	+	2.57	1.65E-14	1.43E-12
mitotic cell cycle phase (GO:0098763)	270	105	40.84	+	2.57	1.65E-14	1.42E-12
cell cycle phase (GO:0022403)	270	105	40.84	+	2.57	1.65E-14	1.41E-12
purine-containing compound metabolic process (GO:0072521)	376	146	56.88	+	2.57	1.12E-19	1.24E-17
response to interleukin-12 (GO:0070671)	49	19	7.41	+	2.56	9.91E-04	1.43E-02
organelle disassembly (GO:1903008)	75	29	11.34	+	2.56	5.76E-05	1.19E-03
RNA phosphodiester bond hydrolysis, exonucleolytic (GO:0090503)	44	17	6.66	+	2.55	1.92E-03	2.51E-02
regulation of intracellular pH (GO:0051453)	88	34	13.31	+	2.55	1.83E-05	4.23E-04
chromosome condensation (GO:0030261)	44	17	6.66	+	2.55	1.92E-03	2.51E-02
protein-DNA complex subunit organization (GO:0071824)	246	95	37.21	+	2.55	5.53E-13	4.16E-11
regulation of cell cycle G2/M phase transition (GO:1902749)	215	83	32.52	+	2.55	1.65E-11	1.02E-09
nucleobase-containing compound transport (GO:0015931)	267	103	40.39	+	2.55	4.17E-14	3.48E-12
nucleoside phosphate metabolic process (GO:0006753)	447	172	67.61	+	2.54	1.40E-22	1.85E-20
membrane protein proteolysis (GO:0033619)	39	15	5.90	+	2.54	3.76E-03	4.44E-02
viral protein processing (GO:0019082)	39	15	5.90	+	2.54	3.76E-03	4.44E-02
intracellular lipid transport (GO:0032365)	39	15	5.90	+	2.54	3.76E-03	4.43E-02
regulation of DNA-templated transcription in response to stress (GO:0043620)	117	45	17.70	+	2.54	8.82E-07	2.75E-05
alcohol biosynthetic process (GO:0046165)	99	38	14.98	+	2.54	5.24E-06	1.41E-04
antigen processing and presentation of exogenous antigen (GO:0019884)	185	71	27.98	+	2.54	5.38E-10	2.92E-08
mRNA processing (GO:0006397)	489	187	73.97	+	2.53	2.50E-24	3.51E-22
regulation of chromosome separation (GO:1905818)	68	26	10.29	+	2.53	1.66E-04	3.00E-03
nucleoside triphosphate biosynthetic process (GO:0009142)	68	26	10.29	+	2.53	1.66E-04	3.00E-03
nucleotide metabolic process (GO:0009117)	435	166	65.80	+	2.52	1.49E-21	1.83E-19
antigen processing and presentation of peptide antigen (GO:0048002)	194	74	29.35	+	2.52	2.42E-10	1.35E-08
oxidation-reduction process (GO:0055114)	970	370	146.73	+	2.52	8.19E-48	3.51E-45
nucleobase-containing small molecule metabolic process (GO:0055086)	527	201	79.72	+	2.52	7.09E-26	1.12E-23
amino sugar metabolic process (GO:0006040)	42	16	6.35	+	2.52	2.90E-03	3.54E-02
nucleotide phosphorylation (GO:0046939)	63	24	9.53	+	2.52	3.25E-04	5.47E-03
ribonucleoside triphosphate metabolic process (GO:0009199)	71	27	10.74	+	2.51	1.29E-04	2.40E-03
nucleosome assembly (GO:0006334)	116	44	17.55	+	2.51	1.42E-06	4.23E-05
nucleoside diphosphate metabolic process (GO:0009132)	87	33	13.16	+	2.51	2.97E-05	6.60E-04
fatty acid biosynthetic process (GO:0006633)	132	50	19.97	+	2.50	2.25E-07	7.94E-06
autophagosome organization (GO:1905037)	66	25	9.98	+	2.50	2.48E-04	4.28E-03
establishment of chromosome localization (GO:0051303)	74	28	11.19	+	2.50	1.00E-04	1.93E-03
chromosome localization (GO:0050000)	74	28	11.19	+	2.50	1.00E-04	1.93E-03
small molecule biosynthetic process (GO:0044283)	590	223	89.25	+	2.50	2.63E-28	5.02E-26
hexose metabolic process (GO:0019318)	159	60	24.05	+	2.49	1.61E-08	6.81E-07
protein transmembrane transport (GO:0071806)	61	23	9.23	+	2.49	4.86E-04	7.79E-03
protein lipidation (GO:0006497)	85	32	12.86	+	2.49	4.40E-05	9.32E-04
monosaccharide metabolic process (GO:0005996)	202	76	30.56	+	2.49	2.68E-10	1.49E-08
glycerolipid biosynthetic process (GO:0045017)	240	90	36.30	+	2.48	5.88E-12	3.89E-10
ribonucleoside triphosphate biosynthetic process (GO:0009201)	56	21	8.47	+	2.48	9.65E-04	1.40E-02
regulation of mRNA splicing, via spliceosome (GO:0048024)	115	43	17.40	+	2.47	2.33E-06	6.68E-05
