Cluster representative	Cluster member	Cluster member description	Member P-value	Member user defined value	Member IC	Member frequency
GO:1901615	GO:0006069	ethanol oxidation	1.150e-02	0.000e+00	4.231e+00	5.876e-05
GO:1901615	GO:0042572	retinol metabolic process	3.650e-05	0.000e+00	4.622e+00	2.388e-05
GO:1901615	GO:0016101	diterpenoid metabolic process	1.060e-04	0.000e+00	4.272e+00	5.346e-05
GO:0006396	GO:0034470	ncRNA processing	1.430e-31	0.000e+00	1.689e+00	2.046e-02
GO:0006396	GO:0006396	RNA processing	5.300e-55	0.000e+00	1.557e+00	2.773e-02
GO:0006396	GO:0008033	tRNA processing	1.650e-06	0.000e+00	1.872e+00	1.343e-02
GO:0006396	GO:0006364	rRNA processing	4.050e-27	0.000e+00	2.160e+00	6.923e-03
GO:0006396	GO:0030490	maturation of SSU-rRNA	1.870e-07	0.000e+00	3.756e+00	1.755e-04
GO:0006396	GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	3.830e-07	0.000e+00	4.356e+00	4.408e-05
GO:0006396	GO:0016072	rRNA metabolic process	2.660e-26	0.000e+00	2.144e+00	7.172e-03
GO:0006396	GO:0000470	maturation of LSU-rRNA	3.210e-04	0.000e+00	4.144e+00	7.173e-05
GO:0006396	GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	2.990e-02	0.000e+00	4.282e+00	5.218e-05
GO:0006396	GO:0000460	maturation of 5.8S rRNA	3.590e-04	0.000e+00	4.462e+00	3.452e-05
GO:0006396	GO:0000466	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	8.770e-03	0.000e+00	4.552e+00	2.808e-05
GO:0006396	GO:0000375	RNA splicing, via transesterification reactions	4.980e-24	0.000e+00	3.245e+00	5.686e-04
GO:0006396	GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	1.290e-23	0.000e+00	3.265e+00	5.435e-04
GO:0006396	GO:0000398	mRNA splicing, via spliceosome	1.300e-23	0.000e+00	3.294e+00	5.084e-04
GO:0006396	GO:0045292	mRNA cis splicing, via spliceosome	1.310e-03	0.000e+00	4.217e+00	6.068e-05
GO:0006396	GO:0008380	RNA splicing	6.370e-23	0.000e+00	2.897e+00	1.269e-03
GO:0006396	GO:0006400	tRNA modification	3.280e-06	0.000e+00	2.215e+00	6.093e-03
GO:0006396	GO:0002098	tRNA wobble uridine modification	3.450e-02	0.000e+00	3.396e+00	4.014e-04
GO:0006396	GO:0009451	RNA modification	7.430e-05	0.000e+00	1.921e+00	1.198e-02
GO:0006396	GO:0030488	tRNA methylation	2.890e-03	0.000e+00	2.801e+00	1.583e-03
GO:0006396	GO:0001510	RNA methylation	7.020e-03	0.000e+00	2.328e+00	4.698e-03
GO:0006396	GO:0034660	ncRNA metabolic process	8.640e-34	0.000e+00	1.493e+00	3.215e-02
GO:0006396	GO:0006399	tRNA metabolic process	4.590e-11	0.000e+00	1.605e+00	2.484e-02
GO:0006396	GO:0016070	RNA metabolic process	6.320e-51	0.000e+00	1.193e+00	6.419e-02
GO:0006396	GO:0006418	tRNA aminoacylation for protein translation	2.490e-05	0.000e+00	2.038e+00	9.164e-03
GO:0006396	GO:0043039	tRNA aminoacylation	2.840e-05	0.000e+00	1.997e+00	1.008e-02
GO:0006396	GO:0043038	amino acid activation	3.680e-05	0.000e+00	1.997e+00	1.008e-02
GO:0006396	GO:0016071	mRNA metabolic process	1.550e-44	0.000e+00	2.320e+00	4.785e-03
GO:0006396	GO:0008334	histone mRNA metabolic process	4.620e-02	0.000e+00	5.017e+00	9.617e-06
GO:0006396	GO:0006397	mRNA processing	3.510e-22	0.000e+00	2.428e+00	3.734e-03
GO:0006396	GO:0006370	7-methylguanosine mRNA capping	2.770e-05	0.000e+00	3.191e+00	6.435e-04
GO:0006396	GO:0009452	7-methylguanosine RNA capping	3.820e-05	0.000e+00	3.181e+00	6.597e-04
GO:0006396	GO:0036260	RNA capping	3.830e-05	0.000e+00	3.180e+00	6.608e-04
GO:0006396	GO:0000956	nuclear-transcribed mRNA catabolic process	7.640e-25	0.000e+00	3.464e+00	3.435e-04
GO:0006396	GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	3.360e-20	0.000e+00	3.942e+00	1.144e-04
GO:0006396	GO:0006402	mRNA catabolic process	7.730e-25	0.000e+00	3.048e+00	8.961e-04
GO:0006396	GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	2.340e-04	0.000e+00	4.655e+00	2.214e-05
GO:0006396	GO:0000291	nuclear-transcribed mRNA catabolic process, exonucleolytic	1.620e-06	0.000e+00	4.648e+00	2.250e-05
GO:0006396	GO:0043928	exonucleolytic catabolism of deadenylated mRNA	6.910e-06	0.000e+00	5.219e+00	6.035e-06
GO:0006396	GO:0031123	RNA 3'-end processing	1.080e-05	0.000e+00	3.456e+00	3.501e-04
GO:0006396	GO:0031124	mRNA 3'-end processing	3.030e-05	0.000e+00	3.918e+00	1.208e-04
GO:0006396	GO:0006378	mRNA polyadenylation	3.480e-02	0.000e+00	4.071e+00	8.485e-05
GO:0006396	GO:0006259	DNA metabolic process	1.070e-14	0.000e+00	1.313e+00	4.860e-02
GO:0006396	GO:0006270	DNA replication initiation	3.000e-04	0.000e+00	3.295e+00	5.075e-04
GO:0006396	GO:0090305	nucleic acid phosphodiester bond hydrolysis	1.900e-06	0.000e+00	1.631e+00	2.336e-02
GO:0006396	GO:0090501	RNA phosphodiester bond hydrolysis	8.910e-05	0.000e+00	2.198e+00	6.337e-03
GO:0006396	GO:0090503	RNA phosphodiester bond hydrolysis, exonucleolytic	2.510e-02	0.000e+00	3.017e+00	9.617e-04
GO:0006396	GO:0006310	DNA recombination	1.700e-04	0.000e+00	1.912e+00	1.224e-02
GO:0006396	GO:0006281	DNA repair	2.460e-13	0.000e+00	1.779e+00	1.665e-02
GO:0006396	GO:0006289	nucleotide-excision repair	2.160e-10	0.000e+00	2.916e+00	1.213e-03
GO:0006396	GO:0070911	global genome nucleotide-excision repair	3.350e-04	0.000e+00	6.084e+00	8.239e-07
GO:0006396	GO:0006283	transcription-coupled nucleotide-excision repair	4.730e-10	0.000e+00	4.882e+00	1.312e-05
GO:0006396	GO:0006301	postreplication repair	6.030e-03	0.000e+00	4.305e+00	4.952e-05
GO:0006396	GO:0070987	error-free translesion synthesis	1.280e-02	0.000e+00	5.378e+00	4.192e-06
GO:0006396	GO:0042276	error-prone translesion synthesis	2.370e-02	0.000e+00	4.918e+00	1.207e-05
GO:0006396	GO:0006974	cellular response to DNA damage stimulus	2.470e-10	0.000e+00	1.606e+00	2.477e-02
GO:0006396	GO:0071897	DNA biosynthetic process	4.040e-02	0.000e+00	2.155e+00	6.994e-03
GO:0006396	GO:0044260	cellular macromolecule metabolic process	3.250e-49	0.000e+00	8.108e-01	1.546e-01
GO:0006396	GO:1901360	organic cyclic compound metabolic process	2.240e-106	0.000e+00	6.669e-01	2.153e-01
GO:0006396	GO:0090304	nucleic acid metabolic process	8.290e-60	0.000e+00	8.904e-01	1.287e-01
GO:0006396	GO:1901362	organic cyclic compound biosynthetic process	7.120e-24	0.000e+00	1.056e+00	8.788e-02
GO:0006396	GO:0006725	cellular aromatic compound metabolic process	1.230e-96	0.000e+00	6.809e-01	2.085e-01
GO:0006396	GO:0019438	aromatic compound biosynthetic process	2.160e-17	0.000e+00	1.099e+00	7.962e-02
GO:0043603	GO:0043604	amide biosynthetic process	1.130e-39	0.000e+00	1.385e+00	4.120e-02
GO:0043603	GO:0043603	cellular amide metabolic process	4.810e-47	0.000e+00	1.361e+00	4.355e-02
GO:0043603	GO:0006412	translation	8.290e-34	0.000e+00	1.442e+00	3.613e-02
GO:0043603	GO:0043043	peptide biosynthetic process	1.650e-33	0.000e+00	1.431e+00	3.704e-02
GO:0043603	GO:0006518	peptide metabolic process	1.220e-33	0.000e+00	1.424e+00	3.763e-02
GO:0043603	GO:0044271	cellular nitrogen compound biosynthetic process	3.790e-51	0.000e+00	9.190e-01	1.205e-01
GO:0043603	GO:0034654	nucleobase-containing compound biosynthetic process	3.090e-16	0.000e+00	1.246e+00	5.670e-02
GO:0120254	GO:0120254	olefinic compound metabolic process	1.060e-07	0.000e+00	4.195e+00	6.383e-05
GO:0120254	GO:0019373	epoxygenase P450 pathway	5.340e-05	0.000e+00	5.816e+00	1.526e-06
GO:0120254	GO:0019369	arachidonic acid metabolic process	3.710e-04	0.000e+00	4.822e+00	1.506e-05
GO:0120254	GO:0097267	omega-hydroxylase P450 pathway	1.080e-02	0.000e+00	6.505e+00	3.128e-07
GO:0006839	GO:1990542	mitochondrial transmembrane transport	2.260e-07	0.000e+00	3.716e+00	1.925e-04
GO:0006839	GO:0006839	mitochondrial transport	1.030e-09	0.000e+00	3.543e+00	2.863e-04
GO:0006839	GO:0006626	protein targeting to mitochondrion	1.470e-03	0.000e+00	5.330e+00	4.673e-06
GO:0006839	GO:0072655	establishment of protein localization to mitochondrion	1.940e-02	0.000e+00	3.837e+00	1.455e-04
GO:0006766	GO:0006775	fat-soluble vitamin metabolic process	3.590e-03	0.000e+00	4.808e+00	1.557e-05
GO:0006766	GO:0006766	vitamin metabolic process	1.930e-06	0.000e+00	1.909e+00	1.232e-02
GO:0006766	GO:0006767	water-soluble vitamin metabolic process	1.320e-03	0.000e+00	1.910e+00	1.230e-02
GO:0006766	GO:0044281	small molecule metabolic process	2.650e-75	0.000e+00	7.850e-01	1.640e-01
GO:0006766	GO:0006082	organic acid metabolic process	8.590e-51	0.000e+00	1.015e+00	9.658e-02
GO:0006766	GO:0043436	oxoacid metabolic process	2.400e-49	0.000e+00	1.046e+00	9.005e-02
GO:1903409	GO:1903409	reactive oxygen species biosynthetic process	1.890e-02	0.000e+00	4.487e+00	3.260e-05
GO:0006517	GO:0006517	protein deglycosylation	2.300e-02	0.000e+00	5.018e+00	9.597e-06
GO:0006517	GO:0036508	protein alpha-1,2-demannosylation	4.630e-02	0.000e+00	5.286e+00	5.173e-06
GO:0006517	GO:0036507	protein demannosylation	4.630e-02	0.000e+00	5.286e+00	5.173e-06
GO:0006805	GO:0006805	xenobiotic metabolic process	1.370e-07	0.000e+00	3.522e+00	3.005e-04
GO:0071466	GO:0071466	cellular response to xenobiotic stimulus	7.340e-08	0.000e+00	5.357e+00	4.391e-06
GO:0071466	GO:0009410	response to xenobiotic stimulus	1.660e-07	0.000e+00	4.712e+00	1.939e-05
GO:0071466	GO:0062197	cellular response to chemical stress	6.990e-04	0.000e+00	3.734e+00	1.844e-04
GO:0071466	GO:0034599	cellular response to oxidative stress	3.060e-03	0.000e+00	3.978e+00	1.053e-04
GO:0071466	GO:0070887	cellular response to chemical stimulus	3.640e-04	0.000e+00	3.172e+00	6.723e-04
GO:0071466	GO:0009636	response to toxic substance	3.750e-02	0.000e+00	3.799e+00	1.587e-04
GO:0071466	GO:0010035	response to inorganic substance	7.490e-04	0.000e+00	3.335e+00	4.623e-04
GO:0071466	GO:0000305	response to oxygen radical	3.450e-02	0.000e+00	5.700e+00	1.995e-06
GO:0071466	GO:0010038	response to metal ion	9.070e-03	0.000e+00	3.489e+00	3.244e-04
GO:0071466	GO:0071456	cellular response to hypoxia	1.500e-05	0.000e+00	4.758e+00	1.747e-05
GO:0071466	GO:0036294	cellular response to decreased oxygen levels	2.480e-05	0.000e+00	4.716e+00	1.925e-05
GO:0071466	GO:0071453	cellular response to oxygen levels	1.160e-05	0.000e+00	4.640e+00	2.293e-05
GO:0071466	GO:0001666	response to hypoxia	1.470e-04	0.000e+00	4.336e+00	4.611e-05
GO:0071466	GO:0036293	response to decreased oxygen levels	4.490e-04	0.000e+00	4.316e+00	4.825e-05
GO:0071466	GO:0070482	response to oxygen levels	2.060e-04	0.000e+00	4.272e+00	5.343e-05
GO:0071466	GO:0009628	response to abiotic stimulus	2.670e-05	0.000e+00	2.791e+00	1.619e-03
GO:0071466	GO:0009408	response to heat	3.140e-02	0.000e+00	3.188e+00	6.487e-04
GO:0071466	GO:0009266	response to temperature stimulus	3.540e-02	0.000e+00	3.129e+00	7.422e-04
GO:0071466	GO:0071347	cellular response to interleukin-1	6.680e-04	0.000e+00	5.024e+00	9.472e-06
GO:0071466	GO:0070555	response to interleukin-1	1.650e-03	0.000e+00	4.855e+00	1.395e-05
GO:0071466	GO:0071349	cellular response to interleukin-12	1.250e-02	0.000e+00	6.663e+00	2.174e-07
GO:0071466	GO:0070671	response to interleukin-12	1.430e-02	0.000e+00	6.161e+00	6.904e-07
GO:0071466	GO:1990869	cellular response to chemokine	2.050e-03	0.000e+00	5.429e+00	3.727e-06
GO:0071466	GO:1990868	response to chemokine	2.040e-03	0.000e+00	5.429e+00	3.727e-06
GO:0071466	GO:0042493	response to drug	2.550e-05	0.000e+00	4.468e+00	3.403e-05
GO:0071466	GO:0010033	response to organic substance	2.100e-04	0.000e+00	2.994e+00	1.013e-03
GO:0071466	GO:0006986	response to unfolded protein	6.110e-05	0.000e+00	4.360e+00	4.368e-05
GO:0071466	GO:0035966	response to topologically incorrect protein	8.110e-05	0.000e+00	4.317e+00	4.822e-05
GO:0071466	GO:0034620	cellular response to unfolded protein	8.550e-04	0.000e+00	4.941e+00	1.144e-05
GO:0071466	GO:0035967	cellular response to topologically incorrect protein	9.880e-04	0.000e+00	4.822e+00	1.508e-05
GO:0071466	GO:0032868	response to insulin	1.490e-03	0.000e+00	4.560e+00	2.753e-05
GO:0071466	GO:0032869	cellular response to insulin stimulus	3.780e-03	0.000e+00	4.725e+00	1.886e-05
GO:0071466	GO:0010243	response to organonitrogen compound	2.100e-02	0.000e+00	3.624e+00	2.378e-04
GO:0071466	GO:0032570	response to progesterone	2.650e-02	0.000e+00	5.441e+00	3.624e-06
GO:0072348	GO:0072348	sulfur compound transport	3.920e-03	0.000e+00	2.663e+00	2.171e-03
GO:0072348	GO:0006810	transport	2.670e-46	0.000e+00	9.305e-01	1.174e-01
GO:0072348	GO:0051234	establishment of localization	4.000e-45	0.000e+00	9.287e-01	1.178e-01
GO:0072348	GO:0055085	transmembrane transport	4.590e-24	0.000e+00	1.220e+00	6.028e-02
GO:0072348	GO:0051179	localization	7.180e-29	0.000e+00	9.257e-01	1.187e-01
GO:0072348	GO:0006811	ion transport	2.160e-09	0.000e+00	1.120e+00	7.580e-02
GO:1901568	GO:1901568	fatty acid derivative metabolic process	5.050e-10	0.000e+00	4.259e+00	5.511e-05
GO:1901568	GO:1901570	fatty acid derivative biosynthetic process	1.240e-03	0.000e+00	4.804e+00	1.572e-05
GO:1901568	GO:0035337	fatty-acyl-CoA metabolic process	1.160e-04	0.000e+00	4.903e+00	1.251e-05
GO:1901568	GO:0035336	long-chain fatty-acyl-CoA metabolic process	1.130e-02	0.000e+00	4.967e+00	1.078e-05
GO:1901568	GO:0046949	fatty-acyl-CoA biosynthetic process	1.910e-03	0.000e+00	5.124e+00	7.511e-06
GO:1901568	GO:0035338	long-chain fatty-acyl-CoA biosynthetic process	3.440e-02	0.000e+00	5.178e+00	6.637e-06
GO:0006790	GO:0000096	sulfur amino acid metabolic process	2.200e-02	0.000e+00	2.358e+00	4.380e-03
GO:0006790	GO:0006790	sulfur compound metabolic process	5.160e-15	0.000e+00	1.877e+00	1.327e-02
GO:0006790	GO:0044272	sulfur compound biosynthetic process	9.990e-05	0.000e+00	2.004e+00	9.919e-03
GO:0072527	GO:0072528	pyrimidine-containing compound biosynthetic process	1.200e-02	0.000e+00	1.994e+00	1.013e-02
GO:0072527	GO:0072527	pyrimidine-containing compound metabolic process	3.100e-03	0.000e+00	1.958e+00	1.101e-02
GO:0072527	GO:0006221	pyrimidine nucleotide biosynthetic process	1.310e-02	0.000e+00	2.174e+00	6.697e-03
GO:0072527	GO:0006220	pyrimidine nucleotide metabolic process	3.550e-02	0.000e+00	2.149e+00	7.102e-03
GO:0072527	GO:0046483	heterocycle metabolic process	2.910e-99	0.000e+00	6.788e-01	2.095e-01
GO:0072527	GO:0006139	nucleobase-containing compound metabolic process	1.500e-89	0.000e+00	7.435e-01	1.805e-01
GO:0072527	GO:0018130	heterocycle biosynthetic process	4.260e-20	0.000e+00	1.078e+00	8.353e-02
GO:0040029	GO:0045815	positive regulation of gene expression, epigenetic	1.380e-03	0.000e+00	4.861e+00	1.376e-05
GO:0040029	GO:0040029	regulation of gene expression, epigenetic	3.930e-04	0.000e+00	4.040e+00	9.118e-05
GO:0040029	GO:0006342	chromatin silencing	1.970e-02	0.000e+00	4.263e+00	5.457e-05
GO:0040029	GO:0045814	negative regulation of gene expression, epigenetic	1.480e-02	0.000e+00	4.235e+00	5.822e-05
GO:0090407	GO:0090407	organophosphate biosynthetic process	2.450e-27	0.000e+00	1.371e+00	4.253e-02
GO:0090407	GO:0009165	nucleotide biosynthetic process	4.790e-12	0.000e+00	1.513e+00	3.066e-02
GO:0090407	GO:1901293	nucleoside phosphate biosynthetic process	4.380e-12	0.000e+00	1.505e+00	3.127e-02
GO:0090407	GO:0019637	organophosphate metabolic process	1.190e-34	0.000e+00	1.239e+00	5.763e-02
GO:0090407	GO:0006753	nucleoside phosphate metabolic process	1.850e-20	0.000e+00	1.381e+00	4.159e-02
GO:0090407	GO:0009117	nucleotide metabolic process	1.830e-19	0.000e+00	1.391e+00	4.063e-02
GO:0090407	GO:0055086	nucleobase-containing small molecule metabolic process	1.120e-23	0.000e+00	1.298e+00	5.040e-02
GO:0090407	GO:0034404	nucleobase-containing small molecule biosynthetic process	2.840e-03	0.000e+00	2.312e+00	4.879e-03
GO:0090407	GO:0046112	nucleobase biosynthetic process	5.450e-03	0.000e+00	2.859e+00	1.382e-03
GO:0090407	GO:0009112	nucleobase metabolic process	4.960e-03	0.000e+00	2.676e+00	2.109e-03
GO:0090407	GO:0009156	ribonucleoside monophosphate biosynthetic process	6.870e-04	0.000e+00	2.131e+00	7.396e-03
GO:0090407	GO:0009161	ribonucleoside monophosphate metabolic process	3.080e-03	0.000e+00	2.106e+00	7.836e-03
GO:0090407	GO:0009124	nucleoside monophosphate biosynthetic process	7.500e-04	0.000e+00	2.077e+00	8.374e-03
GO:0090407	GO:0009123	nucleoside monophosphate metabolic process	4.470e-03	0.000e+00	1.976e+00	1.058e-02
GO:0090407	GO:0009168	purine ribonucleoside monophosphate biosynthetic process	3.740e-03	0.000e+00	2.258e+00	5.515e-03
GO:0090407	GO:0009127	purine nucleoside monophosphate biosynthetic process	6.700e-03	0.000e+00	2.258e+00	5.517e-03
GO:0090407	GO:0046040	IMP metabolic process	4.330e-02	0.000e+00	2.424e+00	3.771e-03
GO:0090407	GO:0009167	purine ribonucleoside monophosphate metabolic process	2.200e-02	0.000e+00	2.226e+00	5.949e-03
GO:0090407	GO:0046033	AMP metabolic process	3.920e-02	0.000e+00	3.189e+00	6.469e-04
GO:0090407	GO:0009126	purine nucleoside monophosphate metabolic process	3.120e-02	0.000e+00	2.225e+00	5.951e-03
GO:0090407	GO:0009132	nucleoside diphosphate metabolic process	6.600e-04	0.000e+00	2.171e+00	6.740e-03
GO:0090407	GO:0009185	ribonucleoside diphosphate metabolic process	1.960e-02	0.000e+00	2.194e+00	6.402e-03
GO:0090407	GO:0009135	purine nucleoside diphosphate metabolic process	2.330e-02	0.000e+00	2.194e+00	6.399e-03
GO:0090407	GO:0046031	ADP metabolic process	5.180e-03	0.000e+00	2.221e+00	6.011e-03
GO:0090407	GO:0006757	ATP generation from ADP	1.200e-02	0.000e+00	2.222e+00	5.991e-03
GO:0090407	GO:0009179	purine ribonucleoside diphosphate metabolic process	2.330e-02	0.000e+00	2.194e+00	6.398e-03
GO:0090407	GO:0006165	nucleoside diphosphate phosphorylation	4.490e-03	0.000e+00	2.210e+00	6.164e-03
GO:0090407	GO:0046939	nucleotide phosphorylation	5.470e-03	0.000e+00	2.210e+00	6.165e-03
GO:0090407	GO:0009058	biosynthetic process	8.820e-101	0.000e+00	6.493e-01	2.242e-01
GO:0090407	GO:1901576	organic substance biosynthetic process	3.420e-96	0.000e+00	6.643e-01	2.166e-01
GO:0090407	GO:1901566	organonitrogen compound biosynthetic process	5.400e-57	0.000e+00	8.352e-01	1.461e-01
GO:0090407	GO:0044249	cellular biosynthetic process	1.910e-93	0.000e+00	6.737e-01	2.120e-01
GO:0090407	GO:0009059	macromolecule biosynthetic process	5.750e-36	0.000e+00	1.097e+00	7.991e-02
GO:0090407	GO:0006793	phosphorus metabolic process	1.360e-32	0.000e+00	9.544e-01	1.111e-01
GO:0090407	GO:0006796	phosphate-containing compound metabolic process	3.230e-31	0.000e+00	9.616e-01	1.092e-01
GO:0090407	GO:0016310	phosphorylation	1.680e-06	0.000e+00	1.285e+00	5.184e-02
GO:0090407	GO:0019693	ribose phosphate metabolic process	2.320e-18	0.000e+00	1.619e+00	2.404e-02
GO:0090407	GO:0009259	ribonucleotide metabolic process	3.460e-17	0.000e+00	1.623e+00	2.383e-02
GO:0090407	GO:0009150	purine ribonucleotide metabolic process	3.500e-16	0.000e+00	1.674e+00	2.116e-02
GO:0090407	GO:0046390	ribose phosphate biosynthetic process	9.990e-12	0.000e+00	1.785e+00	1.639e-02
GO:0090407	GO:0009260	ribonucleotide biosynthetic process	1.740e-10	0.000e+00	1.791e+00	1.618e-02
GO:0090407	GO:0009152	purine ribonucleotide biosynthetic process	2.630e-09	0.000e+00	1.869e+00	1.352e-02
GO:0090407	GO:1901137	carbohydrate derivative biosynthetic process	7.810e-13	0.000e+00	1.470e+00	3.391e-02
GO:0090407	GO:1901135	carbohydrate derivative metabolic process	3.300e-21	0.000e+00	1.288e+00	5.148e-02
GO:0090407	GO:1901657	glycosyl compound metabolic process	9.210e-04	0.000e+00	2.142e+00	7.213e-03
GO:0090407	GO:0009116	nucleoside metabolic process	1.960e-02	0.000e+00	2.152e+00	7.042e-03
GO:0090407	GO:0009226	nucleotide-sugar biosynthetic process	1.320e-03	0.000e+00	2.813e+00	1.537e-03
GO:0090407	GO:0009225	nucleotide-sugar metabolic process	1.850e-03	0.000e+00	2.694e+00	2.023e-03
GO:0090407	GO:0006047	UDP-N-acetylglucosamine metabolic process	3.910e-02	0.000e+00	3.369e+00	4.272e-04
GO:0090407	GO:0006040	amino sugar metabolic process	3.540e-02	0.000e+00	2.844e+00	1.433e-03
GO:0090407	GO:0009142	nucleoside triphosphate biosynthetic process	3.000e-03	0.000e+00	2.199e+00	6.320e-03
GO:0090407	GO:0009201	ribonucleoside triphosphate biosynthetic process	1.400e-02	0.000e+00	2.226e+00	5.945e-03
GO:0090407	GO:0009199	ribonucleoside triphosphate metabolic process	2.400e-03	0.000e+00	2.225e+00	5.959e-03
GO:0090407	GO:0009141	nucleoside triphosphate metabolic process	1.240e-03	0.000e+00	2.166e+00	6.826e-03
GO:0090407	GO:0009205	purine ribonucleoside triphosphate metabolic process	6.920e-03	0.000e+00	2.305e+00	4.959e-03
GO:0090407	GO:0009206	purine ribonucleoside triphosphate biosynthetic process	3.870e-02	0.000e+00	2.306e+00	4.945e-03
GO:0090407	GO:0009145	purine nucleoside triphosphate biosynthetic process	2.550e-02	0.000e+00	2.306e+00	4.946e-03
GO:0090407	GO:0009144	purine nucleoside triphosphate metabolic process	6.740e-03	0.000e+00	2.293e+00	5.094e-03
GO:1903311	GO:0050684	regulation of mRNA processing	1.430e-07	0.000e+00	3.289e+00	5.136e-04
GO:1903311	GO:1903311	regulation of mRNA metabolic process	3.300e-14	0.000e+00	3.221e+00	6.013e-04
GO:1903311	GO:0050686	negative regulation of mRNA processing	3.590e-03	0.000e+00	3.354e+00	4.431e-04
GO:1903311	GO:0031440	regulation of mRNA 3'-end processing	9.860e-03	0.000e+00	4.700e+00	1.995e-05
GO:1903311	GO:0050685	positive regulation of mRNA processing	1.310e-02	0.000e+00	5.109e+00	7.774e-06
GO:1903311	GO:0061013	regulation of mRNA catabolic process	7.970e-07	0.000e+00	4.060e+00	8.705e-05
GO:1903311	GO:0048024	regulation of mRNA splicing, via spliceosome	6.680e-05	0.000e+00	4.225e+00	5.956e-05
GO:1903311	GO:0000381	regulation of alternative mRNA splicing, via spliceosome	1.480e-02	0.000e+00	4.343e+00	4.539e-05
GO:1903311	GO:0043484	regulation of RNA splicing	3.370e-05	0.000e+00	3.986e+00	1.033e-04
GO:1903311	GO:0033120	positive regulation of RNA splicing	3.480e-02	0.000e+00	5.023e+00	9.491e-06
GO:1903311	GO:0033119	negative regulation of RNA splicing	2.370e-03	0.000e+00	5.249e+00	5.638e-06
GO:1903311	GO:0048025	negative regulation of mRNA splicing, via spliceosome	1.280e-02	0.000e+00	5.387e+00	4.104e-06
GO:0072521	GO:0006163	purine nucleotide metabolic process	7.800e-17	0.000e+00	1.607e+00	2.471e-02
GO:0072521	GO:0072521	purine-containing compound metabolic process	1.240e-17	0.000e+00	1.578e+00	2.645e-02
GO:0072521	GO:0006164	purine nucleotide biosynthetic process	1.540e-09	0.000e+00	1.776e+00	1.676e-02
GO:0072521	GO:0072522	purine-containing compound biosynthetic process	1.440e-09	0.000e+00	1.747e+00	1.791e-02
GO:0072521	GO:0034032	purine nucleoside bisphosphate metabolic process	1.210e-13	0.000e+00	2.452e+00	3.536e-03
GO:0072521	GO:0034035	purine ribonucleoside bisphosphate metabolic process	1.780e-03	0.000e+00	3.469e+00	3.395e-04
GO:0072521	GO:0050427	3'-phosphoadenosine 5'-phosphosulfate metabolic process	1.780e-03	0.000e+00	5.732e+00	1.854e-06
GO:0072521	GO:0033875	ribonucleoside bisphosphate metabolic process	1.200e-13	0.000e+00	2.452e+00	3.536e-03
GO:0072521	GO:0033865	nucleoside bisphosphate metabolic process	1.190e-13	0.000e+00	2.452e+00	3.536e-03
GO:0072521	GO:0034033	purine nucleoside bisphosphate biosynthetic process	1.910e-07	0.000e+00	2.559e+00	2.764e-03
GO:0072521	GO:0034030	ribonucleoside bisphosphate biosynthetic process	1.900e-07	0.000e+00	2.559e+00	2.764e-03
GO:0072521	GO:0033866	nucleoside bisphosphate biosynthetic process	1.900e-07	0.000e+00	2.559e+00	2.764e-03
GO:0072521	GO:0006637	acyl-CoA metabolic process	1.050e-09	0.000e+00	2.925e+00	1.188e-03
GO:0072521	GO:0006084	acetyl-CoA metabolic process	3.950e-04	0.000e+00	3.156e+00	6.982e-04
GO:0072521	GO:0035383	thioester metabolic process	1.040e-09	0.000e+00	2.925e+00	1.188e-03
GO:0072521	GO:0071616	acyl-CoA biosynthetic process	1.440e-05	0.000e+00	3.135e+00	7.333e-04
GO:0072521	GO:0035384	thioester biosynthetic process	1.430e-05	0.000e+00	3.135e+00	7.333e-04
GO:0072521	GO:0006086	acetyl-CoA biosynthetic process from pyruvate	2.210e-02	0.000e+00	3.901e+00	1.257e-04
GO:0072521	GO:0006085	acetyl-CoA biosynthetic process	2.060e-02	0.000e+00	3.406e+00	3.929e-04
GO:0006903	GO:0006903	vesicle targeting	1.280e-04	0.000e+00	5.334e+00	4.635e-06
GO:0006903	GO:0048207	vesicle targeting, rough ER to cis-Golgi	1.140e-03	0.000e+00	8.419e+00	3.815e-09
GO:0006903	GO:0048199	vesicle targeting, to, from or within Golgi	1.190e-03	0.000e+00	5.542e+00	2.869e-06
GO:1901998	GO:1901998	toxin transport	2.210e-02	0.000e+00	4.175e+00	6.679e-05
GO:0006690	GO:0006690	icosanoid metabolic process	1.260e-05	0.000e+00	4.100e+00	7.944e-05
GO:0043631	GO:0043631	RNA polyadenylation	3.910e-02	0.000e+00	3.823e+00	1.505e-04
GO:0048284	GO:0048284	organelle fusion	4.720e-05	0.000e+00	4.034e+00	9.239e-05
GO:0048284	GO:0006906	vesicle fusion	3.510e-04	0.000e+00	4.387e+00	4.101e-05
